X;U;
0.0;0.0;
0.001000000000000002;0.0;
0.0020000000000000044;0.0;
0.003000000000000007;0.0;
0.004000000000000005;0.0;
0.0049999999999999645;0.0;
0.005999999999999924;0.0;
0.006999999999999883;0.0;
0.007999999999999842;0.0;
0.008999999999999802;0.0;
0.00999999999999976;0.0;
0.01098999999999972;0.0;
0.01198999999999968;0.0;
0.012989999999999639;0.0;
0.013989999999999598;0.0;
0.014989999999999557;0.0;
0.01598999999999952;0.0;
0.016989999999999478;0.0;
0.017989999999999437;0.0;
0.018989999999999396;0.0;
0.019989999999999356;0.0;
0.020979999999999315;0.0;
0.021979999999999274;0.0;
0.022979999999999234;0.0;
0.023979999999999193;0.0;
0.024979999999999152;0.0;
0.02597999999999911;0.0;
0.02697999999999907;0.0;
0.02797999999999903;0.0;
0.02897999999999899;0.0;
0.02997999999999895;0.0;
0.030969999999998908;0.0;
0.03196999999999912;0.0;
0.03296999999999942;0.0;
0.03396999999999973;0.0;
0.034970000000000036;0.0;
0.03597000000000034;0.0;
0.03697000000000065;0.0;
0.037970000000000954;0.0;
0.03897000000000126;0.0;
0.039960000000001564;0.0;
0.04096000000000187;0.0;
0.041960000000002176;0.0;
0.04296000000000248;0.0;
0.04396000000000279;0.0;
0.044960000000003095;0.0;
0.0459600000000034;0.0;
0.04696000000000371;0.0;
0.04796000000000401;0.0;
0.04896000000000432;0.0;
0.04995000000000462;0.0;
0.05095000000000493;0.0;
0.051950000000005235;0.0;
0.05295000000000554;0.0;
0.05395000000000585;0.0;
0.054950000000006154;0.0;
0.05595000000000646;0.0;
0.056950000000006766;0.0;
0.05795000000000707;0.0;
0.05895000000000738;0.0;
0.05994000000000768;0.0;
0.06094000000000799;0.0;
0.061940000000008294;0.0;
0.0629400000000083;0.0;
0.06394000000000791;0.0;
0.06494000000000752;0.0;
0.06594000000000713;0.0;
0.06694000000000674;0.0;
0.06794000000000636;0.0;
0.06894000000000597;0.0;
0.06993000000000558;0.0;
0.0709300000000052;0.0;
0.07193000000000481;0.0;
0.07293000000000442;0.0;
0.07393000000000403;0.0;
0.07493000000000365;0.0;
0.07593000000000326;0.0;
0.07693000000000287;0.0;
0.07793000000000248;0.0;
0.0789300000000021;0.0;
0.07992000000000171;0.0;
0.08092000000000132;0.0;
0.08192000000000094;0.0;
0.08292000000000055;0.0;
0.08392000000000016;0.0;
0.08491999999999977;0.0;
0.08591999999999939;0.0;
0.086919999999999;0.0;
0.08791999999999861;0.0;
0.08891999999999822;0.0;
0.08991999999999783;0.0;
0.09090999999999745;0.0;
0.09190999999999706;0.0;
0.09290999999999668;0.0;
0.09390999999999629;0.0;
0.0949099999999959;0.0;
0.09590999999999551;0.0;
0.09690999999999513;0.0;
0.09790999999999474;0.0;
0.09890999999999435;0.0;
0.09990999999999396;0.0;
0.10089999999999358;0.0;
0.10189999999999319;0.0;
0.1028999999999928;0.0;
0.10389999999999242;0.0;
0.10489999999999203;0.0;
0.10589999999999164;0.0;
0.10689999999999125;0.0;
